WBGene00007063	2L52.1a	1284
WBGene00007063	2L52.1b	663
WBGene00007064	2RSSE.1a	1032
WBGene00007064	2RSSE.1b	1437
WBGene00007064	2RSSE.1c	777
WBGene00007065	3R5.1a	648
WBGene00007065	3R5.1b	636
WBGene00003525	4R79.1a	1035
WBGene00003525	4R79.1b	543
WBGene00007067	4R79.2a	1188
WBGene00007067	4R79.2b	936
WBGene00007069	6R55.2	258
WBGene00005532	AC3.1a	1068
WBGene00005532	AC3.1b	1041
WBGene00007070	AC3.2	1578
WBGene00000024	AC3.3	1278
WBGene00004098	AC3.4	1278
WBGene00007071	AC3.5a	3273
WBGene00007071	AC3.5b	2952
WBGene00000724	AC3.6	978
WBGene00007072	AC3.7	1590
WBGene00007073	AC3.8	1596
WBGene00004964	AC3.10	1056
WBGene00077503	AC3.12	285
WBGene00006428	AC7.1a	1203
WBGene00006428	AC7.1b	1158
WBGene00004929	AC7.2a	1680
WBGene00004929	AC7.2b	1677
WBGene00004929	AC7.2c	1896
WBGene00004929	AC7.2d	1650
WBGene00014997	AC7.3	711
WBGene00007075	AC8.3	1320
WBGene00007076	AC8.4	654
WBGene00007079	AC8.7	690
WBGene00043988	AC8.10	1320
WBGene00043989	AC8.11	654
WBGene00043990	AC8.12	690
WBGene00001528	AH6.1	3414
WBGene00007080	AH6.2	990
WBGene00007081	AH6.3	693
WBGene00005027	AH6.4	996
WBGene00003231	AH6.5	1404
WBGene00005028	AH6.6	990
WBGene00005029	AH6.7	990
WBGene00005030	AH6.8	990
WBGene00005032	AH6.10	990
WBGene00005033	AH6.11	990
WBGene00005034	AH6.12	990
WBGene00005035	AH6.14	996
WBGene00219290	AH6.17	186
WBGene00014998	AH9.1	1236
WBGene00000797	AH9.2	897
WBGene00014999	AH9.3	765
WBGene00015000	AH9.4	1095
WBGene00044701	AH9.6	801
WBGene00007082	AH10.1	1701
WBGene00007083	AH10.2	738
WBGene00007085	AH10.4	219
WBGene00003010	B0001.1a	816
WBGene00003010	B0001.1b	498
WBGene00003010	B0001.1c	213
WBGene00007087	B0001.2	2781
WBGene00007088	B0001.3a	1776
WBGene00007088	B0001.3b	1728
WBGene00007088	B0001.3c	1725
WBGene00007089	B0001.4a	747
WBGene00007089	B0001.4c	669
WBGene00007090	B0001.5	1662
WBGene00007091	B0001.6	2025
WBGene00007092	B0001.7a	2196
WBGene00007092	B0001.7b	2208
WBGene00007092	B0001.7c	366
WBGene00007093	B0001.8a	1473
WBGene00007093	B0001.8b	1479
WBGene00007093	B0001.8c	216
WBGene00007093	B0001.8d	930
WBGene00000138	B0019.1	2175
WBGene00007094	B0019.2	2244
WBGene00000722	B0024.1	894
WBGene00000723	B0024.2	894
WBGene00007096	B0024.3	765
WBGene00007097	B0024.4	1173
WBGene00001533	B0024.6a	3249
WBGene00001533	B0024.6b	3261
WBGene00000491	B0024.8a	3849
WBGene00000491	B0024.8b	2073
WBGene00000491	B0024.8c	1806
WBGene00000491	B0024.8d	1800
WBGene00007099	B0024.9a	438
WBGene00007099	B0024.9b	360
WBGene00007100	B0024.10	1722
WBGene00007101	B0024.11	1734
WBGene00001646	B0024.12	498
WBGene00007102	B0024.13	930
WBGene00007103	B0024.14a	2703
WBGene00007103	B0024.14b	2901
WBGene00007103	B0024.14d	2715
WBGene00007103	B0024.14f	2628
WBGene00007104	B0024.15	1035
WBGene00006932	B0025.1a	2706
WBGene00006932	B0025.1b	1953
WBGene00006932	B0025.1c	2694
